DR_NO,Date Rptd,DATE OCC,TIME OCC
190326475.0,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,2130.0
,02/09/2020 12:00:00 AM,,1800.0
200320258.0,11/11/2020 12:00:00 AM,11/04/2020 12:00:00 AM,
,05/10/2023 12:00:00 AM,03/10/2020 12:00:00 AM,2037.0
200412582.0,09/09/2020 12:00:00 AM,09/09/2020 12:00:00 AM,630.0
200209713.0,05/03/2020 12:00:00 AM,,1800.0
,07/07/2020 12:00:00 AM,,1340.0
201308739.0,03/27/2020 12:00:00 AM,,
201112065.0,,,
200121929.0,12/04/2020 12:00:00 AM,,
201215394.0,,06/25/2020 12:00:00 AM,2200.0
,03/02/2020 12:00:00 AM,03/01/2020 12:00:00 AM,1430.0
200114396.0,,07/04/2020 12:00:00 AM,100.0
,,07/20/2020 12:00:00 AM,700.0
200207955.0,03/19/2020 12:00:00 AM,03/19/2020 12:00:00 AM,130.0
,06/01/2020 12:00:00 AM,05/30/2020 12:00:00 AM,30.0
200905707.0,02/08/2020 12:00:00 AM,02/07/2020 12:00:00 AM,2000.0
200215463.0,09/26/2020 12:00:00 AM,,1900.0
200308100.0,03/07/2020 12:00:00 AM,03/06/2020 12:00:00 AM,2200.0
,02/12/2020 12:00:00 AM,02/07/2020 12:00:00 AM,
,12/07/2020 12:00:00 AM,11/30/2020 12:00:00 AM,2255.0
200506977.0,03/10/2020 12:00:00 AM,02/22/2020 12:00:00 AM,
,,06/08/2020 12:00:00 AM,
201000767.0,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,2000.0
200510354.0,06/08/2020 12:00:00 AM,06/08/2020 12:00:00 AM,330.0
200410136.0,,06/24/2020 12:00:00 AM,
200814461.0,,,
201215562.0,06/29/2020 12:00:00 AM,,730.0
200210168.0,,05/12/2020 12:00:00 AM,2100.0
200714301.0,,,
,02/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,
,12/11/2020 12:00:00 AM,12/10/2020 12:00:00 AM,2000.0
,,,
200316510.0,08/30/2020 12:00:00 AM,08/29/2020 12:00:00 AM,2050.0
200504009.0,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2100.0
200808682.0,04/25/2020 12:00:00 AM,,
,06/17/2020 12:00:00 AM,06/16/2020 12:00:00 AM,
201116973.0,12/26/2020 12:00:00 AM,12/26/2020 12:00:00 AM,
200510994.0,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,230.0
,03/22/2020 12:00:00 AM,03/21/2020 12:00:00 AM,2000.0
200119680.0,,10/18/2020 12:00:00 AM,1800.0
,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,
200412621.0,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1800.0
,03/04/2020 12:00:00 AM,,2130.0
200111627.0,05/12/2020 12:00:00 AM,05/10/2020 12:00:00 AM,2200.0
,03/29/2020 12:00:00 AM,03/29/2020 12:00:00 AM,
201225656.0,,12/02/2020 12:00:00 AM,2245.0
200309451.0,04/04/2020 12:00:00 AM,04/04/2020 12:00:00 AM,1210.0
200211094.0,06/08/2020 12:00:00 AM,06/06/2020 12:00:00 AM,
,05/02/2020 12:00:00 AM,05/01/2020 12:00:00 AM,2330.0
200914517.0,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1735.0
,01/18/2020 12:00:00 AM,01/18/2020 12:00:00 AM,940.0
,02/15/2020 12:00:00 AM,02/15/2020 12:00:00 AM,
201116118.0,11/27/2020 12:00:00 AM,11/23/2020 12:00:00 AM,1200.0
200716724.0,12/04/2020 12:00:00 AM,12/03/2020 12:00:00 AM,811.0
200217442.0,,11/15/2020 12:00:00 AM,310.0
200914052.0,08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,1255.0
200810920.0,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,1000.0
201112187.0,08/04/2020 12:00:00 AM,07/16/2020 12:00:00 AM,1900.0
201212259.0,,,932.0
200918185.0,12/07/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1203.0
200105289.0,01/19/2020 12:00:00 AM,01/16/2020 12:00:00 AM,1700.0
,11/12/2020 12:00:00 AM,11/12/2020 12:00:00 AM,430.0
200609101.0,04/15/2020 12:00:00 AM,04/12/2020 12:00:00 AM,1300.0
,04/11/2020 12:00:00 AM,04/11/2020 12:00:00 AM,2035.0
,02/17/2020 12:00:00 AM,,2350.0
200514277.0,09/17/2020 12:00:00 AM,09/17/2020 12:00:00 AM,
200506268.0,02/22/2020 12:00:00 AM,,
,,10/23/2020 12:00:00 AM,2330.0
200206940.0,02/27/2020 12:00:00 AM,02/27/2020 12:00:00 AM,1255.0
200709456.0,05/20/2020 12:00:00 AM,,
201014375.0,,,
,,05/01/2020 12:00:00 AM,100.0
200610130.0,05/11/2020 12:00:00 AM,05/11/2020 12:00:00 AM,
200714035.0,,,1.0
200210863.0,06/01/2020 12:00:00 AM,,1525.0
,,06/26/2020 12:00:00 AM,
,09/28/2020 12:00:00 AM,09/27/2020 12:00:00 AM,35.0
200200760.0,07/07/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1620.0
201115543.0,11/08/2020 12:00:00 AM,11/08/2020 12:00:00 AM,
200320615.0,,11/11/2020 12:00:00 AM,
200200724.0,06/05/2020 12:00:00 AM,06/04/2020 12:00:00 AM,1850.0
201007153.0,,03/12/2020 12:00:00 AM,640.0
201308239.0,,02/28/2020 12:00:00 AM,2300.0
200506936.0,03/09/2020 12:00:00 AM,,1830.0
201217850.0,08/04/2020 12:00:00 AM,08/04/2020 12:00:00 AM,1000.0
200310566.0,04/25/2020 12:00:00 AM,04/25/2020 12:00:00 AM,950.0
201222029.0,,10/04/2020 12:00:00 AM,
201211083.0,04/17/2020 12:00:00 AM,,
201209876.0,03/27/2020 12:00:00 AM,,1650.0
201009044.0,,,1315.0
201110399.0,06/13/2020 12:00:00 AM,06/11/2020 12:00:00 AM,1700.0
201307829.0,03/09/2020 12:00:00 AM,02/28/2020 12:00:00 AM,
200311518.0,05/18/2020 12:00:00 AM,05/14/2020 12:00:00 AM,1900.0
,01/05/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2030.0
200119934.0,10/24/2020 12:00:00 AM,,645.0
200814436.0,09/23/2020 12:00:00 AM,,1100.0
200316872.0,09/04/2020 12:00:00 AM,09/03/2020 12:00:00 AM,
200911119.0,06/16/2020 12:00:00 AM,,2300.0
201212066.0,,05/03/2020 12:00:00 AM,1235.0
,,02/01/2020 12:00:00 AM,1.0
200312493.0,06/10/2020 12:00:00 AM,,1500.0
200513373.0,08/25/2020 12:00:00 AM,08/11/2020 12:00:00 AM,246.0
201220752.0,09/16/2020 12:00:00 AM,09/16/2020 12:00:00 AM,1230.0
,,10/05/2020 12:00:00 AM,
200618244.0,11/20/2020 12:00:00 AM,11/19/2020 12:00:00 AM,
200214497.0,09/01/2020 12:00:00 AM,06/13/2020 12:00:00 AM,
,02/10/2020 12:00:00 AM,01/30/2020 12:00:00 AM,
200616504.0,10/10/2020 12:00:00 AM,10/09/2020 12:00:00 AM,2345.0
,04/15/2020 12:00:00 AM,,1730.0
200717189.0,12/16/2020 12:00:00 AM,12/13/2020 12:00:00 AM,1500.0
200817626.0,12/17/2020 12:00:00 AM,12/16/2020 12:00:00 AM,
201110326.0,06/12/2020 12:00:00 AM,06/11/2020 12:00:00 AM,2000.0
,02/16/2020 12:00:00 AM,02/16/2020 12:00:00 AM,915.0
200106948.0,02/11/2020 12:00:00 AM,,
,02/27/2020 12:00:00 AM,02/20/2020 12:00:00 AM,1200.0
200212443.0,,07/05/2020 12:00:00 AM,900.0
201216960.0,07/21/2020 12:00:00 AM,07/21/2020 12:00:00 AM,
,,08/30/2020 12:00:00 AM,1420.0
201104052.0,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2030.0
201007391.0,03/19/2020 12:00:00 AM,03/18/2020 12:00:00 AM,
200906435.0,02/24/2020 12:00:00 AM,02/23/2020 12:00:00 AM,1800.0
,10/14/2020 12:00:00 AM,10/13/2020 12:00:00 AM,
200414361.0,,,1200.0
200911049.0,06/15/2020 12:00:00 AM,06/09/2020 12:00:00 AM,
